budget,homepage,movie_id,movie_status,popularity,release_date,release_year,revenue,runtime,tagline,title,vote_average,vote_count
75000000,http://www.simpsonsmovie.com/,35,Released,46.875374,2007-07-25,2007,527068851,87,See our family. And feel better about yours.,The Simpsons Movie,6.9,2264
35000000,http://disney.go.com/olddogs/,22949,Released,13.707843,2009-11-24,2009,92219310,88,Life is Not Child-Proof.,Old Dogs,5.2,210
21000000,http://www.thebeaver-movie.com/,50780,Released,13.847872,2011-02-11,2011,970816,91,He's here to save Walter's life.,The Beaver,6.3,276
13000000,http://stvincent-movie.com/,239563,Released,43.791744,2014-10-09,2014,54837234,102,Love Thy Neighbor,St. Vincent,7.1,763
10000000,http://theforestisreal.com/,329440,Released,19.86599,2016-01-07,2016,40055439,95,Everyone comes here looking for a way out,The Forest,4.8,448
8000000,http://theexorcist.warnerbros.com/,9552,Released,47.584644,1973-12-26,1973,441306145,122,Something almost beyond comprehension is happening to a girl on this street, in this house... and a man has been sent for as a last resort. This man is The Exorcist.,The Exorcist,7.5,2005
31192,http://downterrace.blogspot.com/,42151,Released,1.330379,2009-09-01,2009,10000,89,You're only as good as the people you know.,Down Terrace,6.3,26
0,https://www.miramax.com/movie/the-yards,19457,Released,10.150993,2000-04-27,2000,0,115,He's the target of the most merciless family in New York. His own.,The Yards,6.0,97
28000000,null,15198,Released,4.436792,1999-10-01,1999,8888143,119,A Small Town on the Outskirts of Greatness.,Mystery, Alaska,6.0,69
26000000,null,9358,Released,37.355827,2003-01-31,2003,90426405,90,Death is like a boomerang. it keeps coming back,Final Destination 2,5.9,1023
25000000,null,117,Released,38.27289,1987-06-02,1987,76270454,119,What are you prepared to do?,The Untouchables,7.6,1384
16000000,null,25166,Released,3.021835,2000-03-03,2000,15427192,96,The death of Mona Dearly wasn't so much a whodunnit, as a who didn't.,Drowning Mona,5.4,43
4800000,null,77987,Released,35.754864,2013-05-30,2013,10337387,90,Time to Meet The Devil,Only God Forgives,5.6,862
1500000,null,10707,Released,13.788054,2005-10-05,2005,11098131,81,Joint custody blows.,The Squid and the Whale,6.9,226
1000000,https://www.facebook.com/watch1982,215918,Released,0.175885,2013-12-31,2013,0,90,null,1982,5.0,1
0,null,31535,Released,0.587276,1998-03-13,1998,0,95,Work sucks!,Chairman of the Board,2.7,13
0,null,9378,Released,20.392859,2001-10-26,2001,0,91,There are ghosts around us all the time. Most of them don't want to hurt us. But, there are exceptions...,Thir13en Ghosts,5.4,440
15000000,null,31668,Released,1.833058,2001-10-14,2001,23000,99,null,All The Queen's Men,6.1,7
0,null,361398,Released,0.036532,2015-09-25,2015,0,105,null,Theresa Is a Mother,0.0,0
0,null,283686,Released,3.215465,2014-08-27,2014,0,92,null,Out of the Dark,4.6,55
0,null,10981,Released,3.408955,2003-09-09,2003,0,90,null,Nothing,5.8,38
2000000,http://www.sonyclassics.com/insidejob/,44639,Released,16.930914,2010-10-08,2010,7871522,109,The film that cost $20,000,000,000,000 to make.,Inside Job,7.7,286
1500000,http://robzombie.com/movies/the-lords-of-salem/,104755,Released,14.504326,2012-09-10,2012,1165882,101,We've been waiting... we've always been waiting,The Lords of Salem,5.1,242
1000000,http://www.transamerica-movie.com/,546,Released,9.773398,2005-12-23,2005,13350369,103,Life is a Journey. Bring an Open Mind.,Transamerica,6.9,144
95000000,null,9342,Released,31.08679,1998-07-16,1998,250288523,136,No one has seen his face... but everyone ... knows this mark.,The Mask of Zorro,6.3,1183
90000000,null,116745,Released,43.348022,2013-12-18,2013,188133322,114,Stop Dreaming, Start Living,The Secret Life of Walter Mitty,7.0,3144
70000000,null,49017,Released,64.45795,2014-10-01,2014,215529201,92,Every bloodline has a beginning,Dracula Untold,6.2,2389
60000000,null,786,Released,21.547445,2000-09-15,2000,47383689,122,Experience it. Enjoy it. Just don't fall for it.,Almost Famous,7.4,797
30000000,null,118957,Released,9.780588,2012-09-05,2012,0,93,Cleanup on aisle 7.,Bait,5.3,191
26000000,null,8699,Released,29.342745,2004-07-09,2004,90574188,94,They bring you the news so you don't have to get it yourself.,Anchorman: The Legend of Ron Burgundy,6.7,1493
20000000,null,13960,Released,5.422285,2006-03-31,2006,21170563,105,A New American Story,ATL,6.0,32
16000000,null,4951,Released,54.550274,1999-03-30,1999,53478166,97,How do I loathe thee? Let me count the ways.,10 Things I Hate About You,7.3,1701
12500000,null,9504,Released,13.939054,1992-09-15,1992,10725228,100,Lie. Cheat. Steal. All in a day’s work.,Glengarry Glen Ross,7.5,323
11000000,null,14434,Released,4.536745,2007-03-16,2007,13196245,90,In marriage no one can hear you scream.,I Think I Love My Wife,5.0,55
3000000,null,24227,Released,1.279106,1993-05-14,1993,1200000,87,You have the right to remain silent... permanently.,Excessive Force,4.5,10
1500000,null,23963,Released,4.680206,2009-03-06,2009,32000,93,Shut up or die.,Pontypool,6.6,183
100000,null,115210,Released,7.447714,2012-05-19,2012,95000,86,You'll die laughing...,Stitches,5.5,92
0,http://www.goodintentionsmovie.com/,34417,Released,0.304566,2010-03-09,2010,0,85,null,Good Intentions,5.0,6
0,null,10353,Released,12.283025,1998-02-11,1998,0,118,They come back!,Les Visiteurs 2 : Les Couloirs du temps,5.8,221
0,null,17170,Released,2.753501,1988-04-01,1988,0,107,null,Bright Lights, Big City,4.7,28
0,null,10773,Released,2.894154,2005-09-09,2005,0,103,null,Mrs Henderson Presents,6.4,62
185000000,http://www.indianajones.com/site/index.html,217,Released,75.67446,2008-05-21,2008,786636033,122,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
110000000,http://www.smurfhappens.com/,41513,Released,36.65422,2011-07-29,2011,563749323,103,Smurf Happens.,The Smurfs,5.5,1179
50000000,http://www.super8-movie.com/,37686,Released,37.069252,2011-06-08,2011,260095987,112,It Arrives.,Super 8,6.6,2435
20000000,http://www.imnotthere-movie.com/,3902,Released,13.032308,2007-10-01,2007,4001121,135,All I Can Do Is Be Me Whoever That Is,I'm Not There.,6.6,195
15000000,http://www.theofficialjohncarpenter.com/the-thing/,1091,Released,52.73138,1982-06-25,1982,19629760,109,Man is The Warmest Place to Hide.,The Thing,7.8,1588
12899867,http://www.volver-lapelicula.com,219,Released,19.747808,2006-03-16,2006,85582407,121,Return.,Volver,7.3,406
