Id,Name,Team,Position,Height(inches),Weight(lbs)
1,Adam Donachie,BAL,Catcher,74,180
2,Paul Bako,BAL,Catcher,74,215
3,Ramon Hernandez,BAL,Catcher,72,210
4,Kevin Millar,BAL,First Baseman,72,210
5,Chris Gomez,BAL,First Baseman,73,188
6,Brian Roberts,BAL,Second Baseman,69,176
7,Miguel Tejada,BAL,Shortstop,69,209
8,Melvin Mora,BAL,Third Baseman,71,200
9,Aubrey Huff,BAL,Third Baseman,76,231
10,Adam Stern,BAL,Outfielder,71,180
11,Jeff Fiorentino,BAL,Outfielder,73,188
12,Freddie Bynum,BAL,Outfielder,73,180
13,Nick Markakis,BAL,Outfielder,74,185
14,Brandon Fahey,BAL,Outfielder,74,160
15,Corey Patterson,BAL,Outfielder,69,180
16,Jay Payton,BAL,Outfielder,70,185
17,Jay Gibbons,BAL,Designated Hitter,72,197
18,Erik Bedard,BAL,Starting Pitcher,73,189
19,Hayden Penn,BAL,Starting Pitcher,75,185
20,Adam Loewen,BAL,Starting Pitcher,78,219
21,Daniel Cabrera,BAL,Starting Pitcher,79,230
22,Steve Trachsel,BAL,Starting Pitcher,76,205
23,Jaret Wright,BAL,Starting Pitcher,74,230
24,Kris Benson,BAL,Starting Pitcher,76,195
25,Scott Williamson,BAL,Relief Pitcher,72,180
26,John Parrish,BAL,Relief Pitcher,71,192
27,Danys Baez,BAL,Relief Pitcher,75,225
28,Chad Bradford,BAL,Relief Pitcher,77,203
29,Jamie Walker,BAL,Relief Pitcher,74,195
30,Brian Burres,BAL,Relief Pitcher,73,182
31,Kurt Birkins,BAL,Relief Pitcher,74,188
32,James Hoey,BAL,Relief Pitcher,78,200
33,Sendy Rleal,BAL,Relief Pitcher,73,180
34,Chris Ray,BAL,Relief Pitcher,75,200
35,Jeremy Guthrie,BAL,Relief Pitcher,73,200
36,A.J. Pierzynski,CWS,Catcher,75,245
37,Toby Hall,CWS,Catcher,75,240
38,Paul Konerko,CWS,First Baseman,74,215
39,Tadahito Iguchi,CWS,Second Baseman,69,185
40,Juan Uribe,CWS,Shortstop,71,175
41,Alex Cintron,CWS,Shortstop,74,199
42,Joe Crede,CWS,Third Baseman,73,200
43,Josh Fields,CWS,Third Baseman,73,215
44,Ryan Sweeney,CWS,Outfielder,76,200
45,Brian N. Anderson,CWS,Outfielder,74,205
46,Luis Terrero,CWS,Outfielder,74,206
47,Pablo Ozuna,CWS,Outfielder,70,186
48,Scott Podsednik,CWS,Outfielder,72,188
49,Jermaine Dye,CWS,Outfielder,77,220
50,Darin Erstad,CWS,Outfielder,74,210
51,Rob Mackowiak,CWS,Outfielder,70,195
52,Jim Thome,CWS,Designated Hitter,76,244
53,Jerry Owens,CWS,Designated Hitter,75,195
54,Charlie Haeger,CWS,Starting Pitcher,73,200
55,Heath Phillips,CWS,Starting Pitcher,75,200
56,Gavin Floyd,CWS,Starting Pitcher,76,212
57,Jose Contreras,CWS,Starting Pitcher,76,224
58,Jon Garland,CWS,Starting Pitcher,78,210
59,Javier Vazquez,CWS,Starting Pitcher,74,205
60,Mark Buehrle,CWS,Starting Pitcher,74,220
61,Mike MacDougal,CWS,Relief Pitcher,76,195
62,David Aardsma,CWS,Relief Pitcher,77,200
63,Andrew Sisco,CWS,Relief Pitcher,81,260
64,Matt Thornton,CWS,Relief Pitcher,78,228
65,Bobby Jenks,CWS,Relief Pitcher,75,270
66,Boone Logan,CWS,Relief Pitcher,77,200
67,Sean Tracey,CWS,Relief Pitcher,75,210
68,Nick Masset,CWS,Relief Pitcher,76,190
69,Jose Molina,ANA,Catcher,74,220
70,Jeff Mathis,ANA,Catcher,72,180
71,Mike Napoli,ANA,Catcher,72,205
72,Casey Kotchman,ANA,First Baseman,75,210
73,Kendry Morales,ANA,First Baseman,73,220
74,Shea Hillenbrand,ANA,First Baseman,73,211
75,Robb Quinlan,ANA,First Baseman,73,200
76,Howie Kendrick,ANA,First Baseman,70,180
77,Orlando Cabrera,ANA,Shortstop,70,190
